1.000000000	121.0	m
7.080000000	10.16	s
10.240000000	12.32	s
13.480000000	15.84	s
15.920000000	17.64	s
17.880000000	19.498594104	s
21.680000000	22.599455782	s
26.960000000	28.186485261	s
29.320000000	32.159002268	s
32.880000000	35.28	s
36.080000000	38.04	s
38.120000000	40.599999999999994	s
40.880000000	41.720000000000006	s
41.800000000	44.519999999999996	s
44.600000000	46.160000000000004	s
46.640000000	49.44	s
49.520000000	51.92	s
52.000000000	53.96	s
54.040000000	55.12	s
55.200000000	57.96	s
58.040000000	61.04	s
61.074285714	63.494965986	s
66.520000000	68.52	s
68.600000000	72.55999999999999	s
72.640000000	73.84	s
73.920000000	75.88	s
76.440000000	80.44	s
80.680000000	82.60000000000001	s
83.600000000	84.96	s
85.040000000	88.60000000000001	s
88.720000000	91.28	s
91.840000000	94.56	s
94.760000000	97.80000000000001	s
98.120000000	99.56	s
99.920000000	104.32000000000001	s
104.400000000	107.16000000000001	s
107.240000000	110.88	s
111.200000000	113.36	s
123.000000000	161.0	m
130.720000000	135.48	s
135.640000000	138.39999999999998	s
138.480000000	140.72	s
141.000000000	198.0	m
141.920000000	143.39999999999998	s
143.480000000	146.0	s
146.520000000	148.44	s
148.520000000	151.44	s
151.840000000	153.20000000000002	s
153.280000000	154.76	s
155.200000000	156.79999999999998	s
156.880000000	158.07999999999998	s
159.120000000	161.4	s
161.760000000	163.35999999999999	s
163.440000000	165.96	s
174.200000000	178.0	s
179.520000000	181.20000000000002	s
181.280000000	184.0	s
186.680000000	189.16	s
189.880000000	192.96	s
193.040000000	195.51999999999998	s
195.920000000	200.67999999999998	s
200.760000000	204.84	s
206.080000000	208.32000000000002	s
208.400000000	215.04	s
215.680000000	218.64000000000001	s
218.720000000	221.12	s
221.200000000	223.95999999999998	s
224.040000000	228.84	s
229.520000000	233.08	s
233.520000000	235.96	s
236.000000000	267.0	m
242.120000000	244.92000000000002	s
245.920000000	247.6	s
247.680000000	250.08	s
251.760000000	256.12	s
259.720000000	261.6	s
261.648253968	263.233015873	s
263.280000000	265.28	s
267.960000000	269.96	s
271.040000000	272.0	s
273.040000000	274.68	s
275.728253968	277.51619047599996	s
278.320000000	279.88	s
279.913650794	282.14857142899996	s
285.320000000	288.64	s
288.920000000	292.40000000000003	s
292.480000000	294.36	s
294.440000000	297.8	s
299.560000000	300.96	s
301.040000000	306.12	s
307.520000000	310.24	s
310.560000000	312.88	s
311.000000000	351.0	m
312.960000000	315.32	s
325.680000000	327.16	s
330.160000000	331.24	s
349.160000000	350.8	s
351.000000000	406.0	m
360.880000000	365.0	s
366.240000000	370.0	s
370.080000000	374.76	s
377.560000000	379.84	s
379.920000000	383.52000000000004	s
384.240000000	387.08	s
391.840000000	394.96	s
396.440000000	400.64	s
402.440000000	404.32	s
404.400000000	406.56	s
407.200000000	412.24	s
412.320000000	414.2	s
416.400000000	419.2	s
419.280000000	422.03999999999996	s
424.200000000	427.0	s
429.000000000	496.0	m
429.200000000	430.92	s
435.680000000	439.52	s
441.840000000	446.03999999999996	s
449.560000000	452.84	s
452.920000000	456.08000000000004	s
459.320000000	462.68	s
466.920000000	468.40000000000003	s
469.680000000	471.52	s
475.280000000	478.76	s
480.920000000	482.88	s
488.280000000	490.88	s
491.920000000	495.44	s
496.480000000	498.24	s
500.000000000	503.36	s
503.880000000	505.0	s
